Name,Model,Company,Year,Fuel Type,KM Driven,Transmission Type,Price,Location
Hyundai Creta SX PLUS AT 1.6 PETROL,Creta SX PLUS AT 1.6 PETROL,Hyundai,2017,Petrol,"98,493",Automatic,₹9.73 Lakh,Bangalore
Renault Kwid 1.0 MARVEL IRON MAN EDITION AMT,Kwid 1.0 MARVEL IRON MAN EDITION AMT,Renault,2018,Petrol,"19,178",Automatic,₹4.07 Lakh,Bangalore
Nissan Micra XV CVT,Micra XV CVT,Nissan,2017,Petrol,"35,474",Automatic,₹5.28 Lakh,Bangalore
Hyundai Eon ERA PLUS (O),Eon ERA PLUS (O),Hyundai,2017,Petrol,"33,963",Manual,₹3.81 Lakh,Bangalore
Maruti Swift VXI,Swift VXI,Maruti,2012,Petrol,"64,557",Manual,₹4.63 Lakh,Bangalore
Hyundai Creta SX 1.6 DIESEL,Creta SX 1.6 DIESEL,Hyundai,2019,Diesel,"43,987",Manual,₹11.52 Lakh,Bangalore
Renault Kwid CLIMBER AMT 1.0,Kwid CLIMBER AMT 1.0,Renault,2023,Petrol,"3,996",Automatic,₹6.31 Lakh,Bangalore
Maruti IGNIS ZETA 1.2,IGNIS ZETA 1.2,Maruti,2017,Petrol,"47,285",Manual,₹4.66 Lakh,Bangalore
Maruti IGNIS ZETA 1.2 AMT,IGNIS ZETA 1.2 AMT,Maruti,2017,Petrol,"22,456",Automatic,₹6.12 Lakh,Bangalore
Maruti Eeco 5 STR WITH A/C+HTR,Eeco 5 STR WITH A/C+HTR,Maruti,2019,Petrol,"24,968",Manual,₹4.73 Lakh,Bangalore
Hyundai NEW SANTRO MAGNA,NEW SANTRO MAGNA,Hyundai,2019,Petrol,"33,609",Manual,₹4.39 Lakh,Bangalore
Maruti Alto K10 VXI,Alto K10 VXI,Maruti,2016,Petrol,"65,484",Manual,₹3.18 Lakh,Bangalore
Maruti Vitara Brezza ZDI PLUS,Vitara Brezza ZDI PLUS,Maruti,2016,Diesel,"60,503",Manual,₹7.95 Lakh,Bangalore
Maruti Celerio VXI,Celerio VXI,Maruti,2016,Petrol,"29,309",Manual,₹4.16 Lakh,Bangalore
Maruti Alto K10 VXI,Alto K10 VXI,Maruti,2014,Petrol,"49,599",Manual,₹3.00 Lakh,Bangalore
Maruti Alto K10 VXI,Alto K10 VXI,Maruti,2012,Petrol,"71,979",Manual,₹2.64 Lakh,Bangalore
Hyundai NEW I20  ASTA 1.0 TURBO IMT DUAL TONE,NEW I20  ASTA 1.0 TURBO IMT DUAL TONE,Hyundai,2021,Petrol,"26,797",Manual,₹10.21 Lakh,Bangalore
Renault Kwid RXT 1.0 AMT (O),Kwid RXT 1.0 AMT (O),Renault,2021,Petrol,"14,078",Automatic,₹5.15 Lakh,Bangalore
Maruti Grand Vitara ALPHA SMART HYBRID ALLGRIP,Grand Vitara ALPHA SMART HYBRID ALLGRIP,Maruti,2022,Petrol,"14,358",Manual,₹16.16 Lakh,Bangalore
Renault Kwid RXT 1.0 (O),Kwid RXT 1.0 (O),Renault,2018,Petrol,"48,905",Manual,₹3.46 Lakh,Bangalore
Tata PUNCH CREATIVE IRA AMT 1.2 RTN DUAL TONE,PUNCH CREATIVE IRA AMT 1.2 RTN DUAL TONE,Tata,2023,Petrol,"7,511",Automatic,₹9.64 Lakh,Bangalore
Renault Kwid CLIMBER 1.0 AMT,Kwid CLIMBER 1.0 AMT,Renault,2017,Petrol,"89,552",Automatic,₹3.20 Lakh,Bangalore
Mahindra XUV300 W6 1.2 PETROL,XUV300 W6 1.2 PETROL,Mahindra,2019,Petrol,"42,731",Manual,₹7.80 Lakh,Bangalore
KIA CARENS PREMIUM 1.4 PETROL 7 STR,CARENS PREMIUM 1.4 PETROL 7 STR,KIA,2022,Petrol,"41,209",Manual,₹10.96 Lakh,Bangalore
Maruti Swift VDI,Swift VDI,Maruti,2013,Diesel,"96,413",Manual,₹4.44 Lakh,Bangalore
Hyundai Creta SX AT 1.6 PETROL,Creta SX AT 1.6 PETROL,Hyundai,2019,Petrol,"43,448",Automatic,₹11.28 Lakh,Bangalore
Hyundai Creta SX PLUS AT 1.6 PETROL,Creta SX PLUS AT 1.6 PETROL,Hyundai,2016,Petrol,"97,183",Automatic,₹8.73 Lakh,Bangalore
Toyota Glanza V AMT,Glanza V AMT,Toyota,2023,Petrol,"7,757",Automatic,₹10.72 Lakh,Bangalore
Renault Duster 85 PS RXS MT DIESEL,Duster 85 PS RXS MT DIESEL,Renault,2018,Diesel,"29,137",Manual,₹9.06 Lakh,Bangalore
Hyundai i20 SPORTZ 1.2,i20 SPORTZ 1.2,Hyundai,2012,Petrol,"99,928",Manual,₹4.06 Lakh,Bangalore
Tata NEXON XZA PLUS (O) PETROL,NEXON XZA PLUS (O) PETROL,Tata,2020,Petrol,"38,575",Automatic,₹10.38 Lakh,Bangalore
Maruti Baleno DELTA 1.2 AGS,Baleno DELTA 1.2 AGS,Maruti,2022,Petrol,"43,431",Automatic,₹7.39 Lakh,Bangalore
Hyundai i20 Active 1.4 SX,i20 Active 1.4 SX,Hyundai,2016,Diesel,"82,644",Manual,₹5.99 Lakh,Bangalore
Hyundai Verna SX (O) 1.5 VTVT IVT,Verna SX (O) 1.5 VTVT IVT,Hyundai,2021,Petrol,"26,940",Automatic,₹13.32 Lakh,Bangalore
Hyundai Creta SX PLUS AT 1.6 PETROL,Creta SX PLUS AT 1.6 PETROL,Hyundai,2018,Petrol,"66,956",Automatic,₹9.42 Lakh,Bangalore
Renault Kwid CLIMBER 1.0 (O),Kwid CLIMBER 1.0 (O),Renault,2021,Petrol,"15,159",Manual,₹4.78 Lakh,Bangalore
Renault TRIBER RXL MT,TRIBER RXL MT,Renault,2021,Petrol,"14,852",Manual,₹6.30 Lakh,Bangalore
KIA SELTOS GTX AT 1.4 PETROL,SELTOS GTX AT 1.4 PETROL,KIA,2019,Petrol,"41,535",Automatic,₹11.74 Lakh,Bangalore
Renault Kwid CLIMBER 1.0 AMT (O),Kwid CLIMBER 1.0 AMT (O),Renault,2021,Petrol,"29,584",Automatic,₹5.56 Lakh,Bangalore
Honda BR-V 1.5L I-VTEC V,BR-V 1.5L I-VTEC V,Honda,2018,Petrol,"37,010",Manual,₹8.02 Lakh,Bangalore
