Name,Model,Company,Year,Fuel Type,KM Driven,Transmission Type,Price,Location
Hyundai Elite i20 MAGNA 1.2,Elite i20 MAGNA 1.2,Hyundai,2015,Petrol,"66,704",Manual,₹4.35 Lakh,Delhi
Maruti Alto 800 LXI,Alto 800 LXI,Maruti,2016,Petrol,"97,698",Manual,₹2.31 Lakh,Delhi
Maruti Swift VXI,Swift VXI,Maruti,2015,Petrol,"1,02,460",Manual,₹3.33 Lakh,Delhi
Hyundai Verna 1.6 VTVT SX,Verna 1.6 VTVT SX,Hyundai,2019,Petrol,"55,921",Manual,₹7.78 Lakh,Delhi
Hyundai Verna 1.6 VTVT SX,Verna 1.6 VTVT SX,Hyundai,2019,Petrol,"34,032",Manual,₹8.35 Lakh,Delhi
Maruti Baleno DELTA PETROL 1.2,Baleno DELTA PETROL 1.2,Maruti,2019,Petrol,"35,190",Manual,₹5.57 Lakh,Delhi
Maruti Celerio VXI,Celerio VXI,Maruti,2019,Petrol,"63,194",Manual,₹3.98 Lakh,Delhi
Nissan MAGNITE XV PREMIUM,MAGNITE XV PREMIUM,Nissan,2022,Petrol,"11,851",Manual,₹7.34 Lakh,Delhi
Nissan MAGNITE XE,MAGNITE XE,Nissan,2022,Petrol,"20,338",Manual,₹5.65 Lakh,Delhi
Hyundai Creta SX PLUS AT 1.6 PETROL,Creta SX PLUS AT 1.6 PETROL,Hyundai,2017,Petrol,"29,759",Automatic,₹9.00 Lakh,Delhi
Tata NEXON XZ PLUS PETROL,NEXON XZ PLUS PETROL,Tata,2017,Petrol,"82,375",Manual,₹6.00 Lakh,Delhi
Hyundai Creta SX (O) 1.4 TURBO DCT,Creta SX (O) 1.4 TURBO DCT,Hyundai,2022,Petrol,"40,368",Automatic,₹16.54 Lakh,Delhi
Ford Ecosport TITANIUM 1.5L DIESEL,Ecosport TITANIUM 1.5L DIESEL,Ford,2019,Diesel,"68,051",Manual,₹7.18 Lakh,Delhi
Tata ALTROZ XM PLUS PETROL,ALTROZ XM PLUS PETROL,Tata,2021,Petrol,"49,461",Manual,₹6.29 Lakh,Delhi
