Name,Model,Company,Year,Fuel Type,KM Driven,Transmission Type,Price,Location
Tata TIGOR XZ PETROL,TIGOR XZ PETROL,Tata,2018,Petrol,"94,586",Manual,₹4.16 Lakh,Mumbai
Maruti Dzire VXI AMT,Dzire VXI AMT,Maruti,2018,Petrol,"51,852",Automatic,₹5.50 Lakh,Mumbai
Hyundai Xcent S 1.2,Xcent S 1.2,Hyundai,2014,Petrol,"55,106",Manual,₹3.67 Lakh,Mumbai
Hyundai Elite i20 ASTA 1.2 (O),Elite i20 ASTA 1.2 (O),Hyundai,2016,Petrol,"27,261",Manual,₹5.21 Lakh,Mumbai
Volkswagen Ameo COMFORTLINE 1.0L,Ameo COMFORTLINE 1.0L,Volkswagen,2019,Petrol,"34,651",Manual,₹5.72 Lakh,Mumbai
Maruti Swift Dzire ZDI,Swift Dzire ZDI,Maruti,2014,Diesel,"11,144",Manual,₹6.13 Lakh,Mumbai
Hyundai Elite i20 ASTA 1.2 (O),Elite i20 ASTA 1.2 (O),Hyundai,2018,Petrol,"56,236",Manual,₹5.97 Lakh,Mumbai
Maruti Wagon R 1.0 VXI,Wagon R 1.0 VXI,Maruti,2012,Petrol,"42,425",Manual,₹2.31 Lakh,Mumbai
Honda WR-V 1.2L I-VTEC VX MT,WR-V 1.2L I-VTEC VX MT,Honda,2018,Petrol,"59,897",Manual,₹7.11 Lakh,Mumbai
Hyundai Creta SX PLUS AT 1.6 PETROL,Creta SX PLUS AT 1.6 PETROL,Hyundai,2016,Petrol,"83,626",Automatic,₹8.54 Lakh,Mumbai
Renault Kwid RXT 1.0,Kwid RXT 1.0,Renault,2016,Petrol,"45,919",Manual,₹2.95 Lakh,Mumbai
Hyundai Grand i10 ASTA AT 1.2 KAPPA VTVT,Grand i10 ASTA AT 1.2 KAPPA VTVT,Hyundai,2015,Petrol,"62,163",Automatic,₹4.16 Lakh,Mumbai
Hyundai Elite i20 SPORTZ 1.2 (O),Elite i20 SPORTZ 1.2 (O),Hyundai,2015,Petrol,"51,020",Manual,₹4.86 Lakh,Mumbai
Maruti Ertiga ZXI (O) CNG,Ertiga ZXI (O) CNG,Maruti,2022,CNG,"20,619",Manual,₹11.92 Lakh,Mumbai
Maruti Baleno DELTA DIESEL 1.3,Baleno DELTA DIESEL 1.3,Maruti,2016,Diesel,"62,767",Manual,₹5.57 Lakh,Mumbai
Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,Grand i10 MAGNA 1.2 KAPPA VTVT,Hyundai,2018,CNG,"32,749",Manual,₹4.84 Lakh,Mumbai
Honda Jazz 1.2L I-VTEC V,Jazz 1.2L I-VTEC V,Honda,2016,Petrol,"36,158",Manual,₹4.20 Lakh,Mumbai
